Document,Dominant_Topic,Perc_Contribution,Topic_Keywords,Reviews_cleaned
0,3,0.926900029,"process, time, read, loan, home, great, always, company, questions, nasb","['great_job', 'wyndham_capital', 'person', 'professional', 'helped', 'move', 'refinance', 'process', 'smoothly', 'thank']"
1,0,0.623899996,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['matthew', 'richardson', 'professional', 'helpful', 'helped', 'find', 'correct', 'product', 'mortgage', 'thank', 'much', 'excellent', 'service', 'matthew']"
2,1,0.614600003,"process, loan, read, closing, made, team, experience, time, great, questions","['past', 'experience', 'wyndham', 'mortgage', 'without', 'question', 'needed', 'wyndham', 'went', 'beyond', 'extra_mile', 'right', 'wrong', 'encountered', 'servicer', 'dealing', 'previous', 'loan', 'pulled', 'together', 'found', 'viable', 'option', 'ultimately', 'saved', 'money', 'highly_recommend', 'brad', 'thomka', 'wyndham_capital', 'mortgage', 'team', 'mortgage', 'needs', 'sincerest', 'thanks', 'wyndham', 'lind']"
3,1,0.877699971,"process, loan, read, closing, made, team, experience, time, great, questions","['dealing', 'brad', 'thomka', 'beginning', 'started', 'stressful', 'time', 'help', 'brad', 'entire', 'wyndham', 'mortgage', 'team', 'turned', 'happy', 'ending', 'brad', 'wyndham', 'went', 'beyond', 'extra_mile', 'right', 'wrong', 'encountered', 'servicer', 'dealing', 'previous', 'loan', 'pulled', 'together', 'found', 'viable', 'option', 'ultimately', 'saved', 'money', 'indebted', 'highly_recommend', 'brad', 'thomka', 'wyndham_capital', 'mortgage', 'team', 'mortgage', 'needs', 'sincerest', 'thanks', 'wyndham', 'lindread', 'less']"
4,3,0.967599988,"process, time, read, loan, home, great, always, company, questions, nasb","['cant', 'express', 'grateful', 'support', 'zach', 'provided', 'family', 'home_purchase', 'customer_service', 'responsiveness', 'professional', 'demeanor', 'second_none', 'thorough', 'took', 'time', 'educate', 'process', 'along', 'way', 'highly_recommend', 'working', 'zach', 'wyndham_capital']"
5,1,0.972800016,"process, loan, read, closing, made, team, experience, time, great, questions","['pleasure_working', 'wyndham_capital', 'september', 'family', 'making', 'home_purchase', 'columbus', 'original', 'conversation', 'loan_officer', 'underwriting', 'way', 'closing', 'entire', 'team', 'wyndham', 'responsive', 'professional', 'impressed', 'smooth', 'process', 'timely', 'communication', 'given', 'stressful', 'process', 'home_buying', 'selling']"
6,1,0.795300007,"process, loan, read, closing, made, team, experience, time, great, questions","['experience', 'mattison', 'beyond', 'greatly', 'professionally', 'done', 'really', 'cares', 'clients', 'needs', 'stays', 'top', 'everything', 'top', 'overall', 'truly', 'bends', 'back', 'professionally', 'clients', 'wonderful', 'person']"
7,2,0.971300006,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['patrick', 'answered', 'questions', 'email', 'immediately', 'spent', 'lot', 'time', 'making', 'sure', 'got', 'right', 'loan', 'situation', 'portal', 'extremely', 'easy', 'closed', 'refinance', 'weeks', 'pleased', 'customer_service', 'intend', 'using', 'patrick', 'refinance', 'later']"
8,2,0.977699995,"loan, read, questions, process, best, mortgage, time, work, recommend, team","['loved', 'working', 'group', 'people', 'laughed', 'phone', 'always', 'answered', 'questions', 'moved', 'loan', 'along', 'quickly', 'possible', 'knowledgeable', 'staff', 'shopping', 'around', 'lender', 'one', 'lender', 'badmouthed', 'wyndham', 'lost', 'business', 'told', 'wyndham', 'class', 'say', 'anything', 'negative', 'another', 'company', 'get', 'sell']"
9,0,0.966400027,"loan, read, process, mortgage, nasb, get, recommend, experience, time, great","['great', 'web', 'interface', 'loan', 'application', 'document', 'upload', 'download', 'features', 'quick', 'responses', 'questions', 'concerns', 'willingness', 'communicate', 'almost', 'exclusively', 'via', 'emailas', 'phone_calls', 'werent', 'always', 'option']"
