,BankName,Reviews,Stars,Reviews_cleaned,Sentiment_Score,Sentiment_Type,Positive_words,Negative_words,five_star_rating
0,Wyndham Capital Mortgage,"['great', 'job', 'wyndham', 'capital', 'each', 'person', 'was', 'professional', 'and', 'helped', 'move', 'through', 'our', 'refinance', 'process', 'smoothly', 'thank', 'you']",5,"['great_job', 'wyndham_capital', 'person', 'professional', 'helped', 'move', 'refinance', 'process', 'smoothly', 'thank']",0.25,Positive,"['professional', 'smoothly']",[],1
1,Wyndham Capital Mortgage,"['matthew', 'richardson', 'professional', 'and', 'helpful', 'helped', 'find', 'the', 'correct', 'product', 'for', 'our', 'mortgage', 'thank', 'you', 'very', 'much', 'for', 'the', 'excellent', 'service', 'matthew']",5,"['matthew', 'richardson', 'professional', 'helpful', 'helped', 'find', 'correct', 'product', 'mortgage', 'thank', 'much', 'excellent', 'service', 'matthew']",0.55,Positive,"['professional', 'much', 'excellent']",[],1
2,Wyndham Capital Mortgage,"['had', 'past', 'experience', 'with', 'wyndham', 'mortgage', 'and', 'would', 'without', 'question', 'use', 'again', 'and', 'again', 'needed', 'wyndham', 'went', 'beyond', 'the', 'extra', 'mile', 'not', 'only', 'right', 'wrong', 'encountered', 'from', 'the', 'servicer', 'were', 'dealing', 'our', 'previous', 'loan', 'but', 'they', 'pulled', 'together', 'and', 'found', 'viable', 'option', 'for', 'that', 'ultimately', 'saved', 'money', 'would', 'highly', 'recommend', 'brad', 'thomka', 'and', 'the', 'wyndham', 'capital', 'mortgage', 'team', 'for', 'your', 'mortgage', 'needs', 'sincerest', 'thanks', 'wyndham', 'lind']",5,"['past', 'experience', 'wyndham', 'mortgage', 'without', 'question', 'needed', 'wyndham', 'went', 'beyond', 'extra_mile', 'right', 'wrong', 'encountered', 'servicer', 'dealing', 'previous', 'loan', 'pulled', 'together', 'found', 'viable', 'option', 'ultimately', 'saved', 'money', 'highly_recommend', 'brad', 'thomka', 'wyndham_capital', 'mortgage', 'team', 'mortgage', 'needs', 'sincerest', 'thanks', 'wyndham', 'lind']",-0.07182539682539682,Negative,"['right', 'thanks']","['past', 'wrong', 'previous']",1
3,Wyndham Capital Mortgage,"['have', 'been', 'dealing', 'with', 'brad', 'thomka', 'from', 'the', 'beginning', 'what', 'started', 'out', 'very', 'stressful', 'time', 'for', 'but', 'with', 'the', 'help', 'from', 'brad', 'and', 'the', 'entire', 'wyndham', 'mortgage', 'team', 'was', 'turned', 'into', 'happy', 'ending', 'brad', 'and', 'wyndham', 'went', 'beyond', 'the', 'extra', 'mile', 'not', 'only', 'right', 'wrong', 'encountered', 'from', 'the', 'servicer', 'were', 'dealing', 'our', 'previous', 'loan', 'but', 'they', 'pulled', 'together', 'and', 'found', 'viable', 'option', 'for', 'that', 'ultimately', 'saved', 'money', 'are', 'indebted', 'and', 'would', 'highly', 'recommend', 'brad', 'thomka', 'and', 'the', 'wyndham', 'capital', 'mortgage', 'team', 'for', 'your', 'mortgage', 'needs', 'sincerest', 'thanks', 'wyndham', 'lindread', 'less']",5,"['dealing', 'brad', 'thomka', 'beginning', 'started', 'stressful', 'time', 'help', 'brad', 'entire', 'wyndham', 'mortgage', 'team', 'turned', 'happy', 'ending', 'brad', 'wyndham', 'went', 'beyond', 'extra_mile', 'right', 'wrong', 'encountered', 'servicer', 'dealing', 'previous', 'loan', 'pulled', 'together', 'found', 'viable', 'option', 'ultimately', 'saved', 'money', 'indebted', 'highly_recommend', 'brad', 'thomka', 'wyndham_capital', 'mortgage', 'team', 'mortgage', 'needs', 'sincerest', 'thanks', 'wyndham', 'lindread', 'less']",0.05654761904761908,Positive,"['happy', 'right', 'thanks']","['wrong', 'previous', 'less']",1
4,Wyndham Capital Mortgage,"['cant', 'express', 'how', 'grateful', 'for', 'the', 'support', 'that', 'zach', 'provided', 'and', 'family', 'during', 'this', 'home', 'purchase', 'his', 'customer', 'service', 'responsiveness', 'and', 'professional', 'demeanor', 'second', 'none', 'was', 'very', 'thorough', 'and', 'took', 'the', 'time', 'educate', 'about', 'the', 'process', 'along', 'the', 'way', 'highly', 'recommend', 'working', 'with', 'zach', 'and', 'wyndham', 'capital']",5,"['cant', 'express', 'grateful', 'support', 'zach', 'provided', 'family', 'home_purchase', 'customer_service', 'responsiveness', 'professional', 'demeanor', 'second_none', 'thorough', 'took', 'time', 'educate', 'process', 'along', 'way', 'highly_recommend', 'working', 'zach', 'wyndham_capital']",0.1,Positive,['professional'],[],1
5,Wyndham Capital Mortgage,"['had', 'the', 'pleasure', 'working', 'with', 'wyndham', 'capital', 'september', 'family', 'and', 'were', 'making', 'home', 'purchase', 'columbus', 'from', 'the', 'original', 'conversation', 'with', 'the', 'loan', 'officer', 'underwriting', 'and', 'all', 'the', 'way', 'through', 'closing', 'the', 'entire', 'team', 'from', 'wyndham', 'was', 'very', 'responsive', 'and', 'professional', 'was', 'very', 'impressed', 'with', 'how', 'smooth', 'their', 'process', 'was', 'and', 'how', 'timely', 'the', 'communication', 'was', 'given', 'how', 'stressful', 'process', 'home', 'buying', 'and', 'selling', 'can']",5,"['pleasure_working', 'wyndham_capital', 'september', 'family', 'making', 'home_purchase', 'columbus', 'original', 'conversation', 'loan_officer', 'underwriting', 'way', 'closing', 'entire', 'team', 'wyndham', 'responsive', 'professional', 'impressed', 'smooth', 'process', 'timely', 'communication', 'given', 'stressful', 'process', 'home_buying', 'selling']",0.375,Positive,"['original', 'professional', 'impressed', 'smooth']",[],1
6,Wyndham Capital Mortgage,"['experience', 'with', 'mattison', 'was', 'beyond', 'greatly', 'professionally', 'done', 'she', 'really', 'cares', 'about', 'her', 'clients', 'needs', 'she', 'stays', 'top', 'everything', 'and', 'there', 'was', 'she', 'would', 'top', 'for', 'you', 'overall', 'she', 'truly', 'bends', 'her', 'back', 'professionally', 'for', 'her', 'clients', 'she', 'wonderful', 'person']",5,"['experience', 'mattison', 'beyond', 'greatly', 'professionally', 'done', 'really', 'cares', 'clients', 'needs', 'stays', 'top', 'everything', 'top', 'overall', 'truly', 'bends', 'back', 'professionally', 'clients', 'wonderful', 'person']",0.30000000000000004,Positive,"['greatly', 'professionally', 'really', 'top', 'top', 'professionally', 'wonderful']",[],1
7,Wyndham Capital Mortgage,"['patrick', 'answered', 'all', 'questions', 'email', 'immediately', 'and', 'spent', 'lot', 'time', 'making', 'sure', 'got', 'the', 'right', 'loan', 'for', 'situation', 'the', 'portal', 'they', 'use', 'extremely', 'easy', 'and', 'closed', 'the', 'refinance', 'with', 'weeks', 'very', 'pleased', 'with', 'the', 'customer', 'service', 'and', 'intend', 'using', 'patrick', 'again', 'when', 'refinance', 'later']",5,"['patrick', 'answered', 'questions', 'email', 'immediately', 'spent', 'lot', 'time', 'making', 'sure', 'got', 'right', 'loan', 'situation', 'portal', 'extremely', 'easy', 'closed', 'refinance', 'weeks', 'pleased', 'customer_service', 'intend', 'using', 'patrick', 'refinance', 'later']",0.21700680272108844,Positive,"['sure', 'right', 'easy', 'pleased']","['spent', 'extremely', 'closed']",1
8,Wyndham Capital Mortgage,"['loved', 'working', 'with', 'this', 'group', 'people', 'they', 'laughed', 'with', 'over', 'the', 'phone', 'always', 'answered', 'questions', 'and', 'moved', 'the', 'loan', 'along', 'quickly', 'possible', 'knowledgeable', 'staff', 'while', 'were', 'shopping', 'around', 'for', 'lender', 'one', 'lender', 'badmouthed', 'wyndham', 'they', 'lost', 'business', 'because', 'when', 'told', 'wyndham', 'about', 'they', 'had', 'the', 'class', 'not', 'say', 'anything', 'negative', 'about', 'another', 'company', 'just', 'get', 'the', 'sell']",5,"['loved', 'working', 'group', 'people', 'laughed', 'phone', 'always', 'answered', 'questions', 'moved', 'loan', 'along', 'quickly', 'possible', 'knowledgeable', 'staff', 'shopping', 'around', 'lender', 'one', 'lender', 'badmouthed', 'wyndham', 'lost', 'business', 'told', 'wyndham', 'class', 'say', 'anything', 'negative', 'another', 'company', 'get', 'sell']",0.27499999999999997,Positive,"['loved', 'laughed', 'quickly']",['negative'],1
9,Wyndham Capital Mortgage,"['great', 'web', 'interface', 'for', 'both', 'the', 'loan', 'application', 'and', 'document', 'upload', 'and', 'download', 'features', 'quick', 'responses', 'any', 'questions', 'concerns', 'willingness', 'communicate', 'almost', 'exclusively', 'via', 'emailas', 'phone', 'calls', 'werent', 'always', 'option', 'for']",5,"['great', 'web', 'interface', 'loan', 'application', 'document', 'upload', 'download', 'features', 'quick', 'responses', 'questions', 'concerns', 'willingness', 'communicate', 'almost', 'exclusively', 'via', 'emailas', 'phone_calls', 'werent', 'always', 'option']",0.5666666666666667,Positive,"['great', 'quick']",[],1
